Algorithm,Time,Distance,Distance from Goal,Path Deviation,Original Distance from Goal,Trajectory Smoothness,Obstacle Clearance,Search Space,Memory
A*,0.016327,8.656854152679443,0.0,0.0,8.062258,0.1963495451279298,2.4562851924841107,17.96875,89.291
A*,0.002608,3.414213538169861,0.0,0.0,3.1622777,0.3926990902558596,7.5,6.640625,21.446
A*,0.031756,18.313708305358887,0.0,0.0,16.40122,0.19634954084936207,2.517624289182046,46.875,129.102
A*,0.002167,2.8284270763397217,0.0,0.0,2.828427,0.0,6.0,5.46875,19.806
A*,0.003879,3.8284270763397217,0.0,0.0,3.6055512,0.3926990731415887,2.1625703849682214,8.203125,25.758
A*,0.009678,10.485281229019165,0.0,0.0,10.0,0.26179938209439246,1.4444444444444444,18.75,35.417
A*,0.008326,12.828427076339722,0.0,0.0,11.045361,0.24166097072009626,1.262631812490238,14.84375,29.825
A*,0.00491,6.2426406145095825,0.0,0.0,5.8309517,0.3926990902558596,2.0,11.71875,24.081
A*,0.006186,7.828427076339722,0.0,0.0,7.28011,0.3926990731415887,2.345978616954046,12.890625,26.689
A*,0.018966,12.242640614509583,0.0,0.0,10.0,0.327249236175126,1.5409917327363887,31.25,50.194
A*,0.012475,9.41421353816986,0.0,0.0,8.246211,0.15707963267948966,2.3823028822792915,21.875,39.17
A*,0.002533,3.0,0.0,0.0,3.0,0.0,1.8090169943749475,5.078125,15.398
A*,0.024324,13.071067690849304,0.0,0.0,8.246211,0.2617993877991494,1.3333333333333333,37.5,62.201
A*,0.015996,13.242640614509583,0.0,0.0,12.369317,0.3624914521306973,6.1572706323343045,29.296875,46.926
A*,0.004526,8.071067690849304,0.0,0.0,7.81025,0.11219974007310274,2.4285714285714284,11.328125,24.417
A*,0.00644,5.828427076339722,0.0,0.0,5.3851647,0.3926990731415887,6.1961480122785515,12.890625,25.297
A*,0.018989,12.071067690849304,0.0,0.0,11.18034,0.6425985113277702,5.8244573019412265,31.640625,47.342
A*,0.008265,6.828427076339722,0.0,0.0,6.3245554,0.3365992202193082,4.323042453394452,14.84375,27.217
A*,0.003306,4.0,0.0,0.0,4.0,0.0,5.543652090601087,4.6875,15.177
A*,0.004252,5.2426406145095825,0.0,0.0,5.0,0.1570796292566355,3.899297167342804,8.984375,21.446
A*,0.00308,3.414213538169861,0.0,0.0,3.1622777,0.3926990731415887,2.5,5.46875,14.974
A*,0.019098,12.899494767189026,0.0,0.0,12.206555,0.28559933836789786,4.684427503733932,32.8125,49.513
A*,0.007828,6.414213538169861,0.0,0.0,6.0827627,0.11219974007310274,5.422600302894298,9.375,22.646
A*,0.019527,11.071067690849304,0.0,0.0,10.29563,0.4712388877699064,4.115298244508295,29.6875,45.848
A*,0.005408,8.071067690849304,0.0,0.0,7.81025,0.22439948014620548,1.69165989328054,10.15625,23.326
A*,0.014444,10.242640614509583,0.0,0.0,9.486833,0.3926990902558596,1.8064495102245979,19.140625,36.801
A*,0.004967,5.2426406145095825,0.0,0.0,5.0,0.314159258513271,6.901390260426891,10.15625,33.038
A*,0.013178,11.828427076339722,0.0,0.0,11.0,0.2617993935039064,2.8041901283227406,21.09375,73.718
A*,0.001447,1.4142135381698608,0.0,0.0,1.4142135,0.0,2.5,3.515625,13.553
A*,0.0085,13.828427076339722,0.0,0.0,13.152946,0.11219973518331106,2.5998254827736034,15.625,56.798
A*,0.011118,14.242640614509583,0.0,0.0,13.341664,0.11219974007310274,2.6618654301824223,21.09375,64.294
A*,0.007577,11.0,0.0,0.0,11.0,0.0,1.4125703849682214,12.5,41.574
A*,0.0016,1.4142135381698608,0.0,0.0,1.4142135,0.0,5.5,3.515625,10.769
A*,0.029543,26.071067690849304,0.0,0.0,16.643316,0.28274334224593556,1.7297120246009678,35.9375,66.961
A*,0.001863,2.0,0.0,0.0,2.0,0.0,5.393952027490282,3.515625,12.702
A*,0.010394,9.828427076339722,0.0,0.0,9.219544,0.314159258513271,2.7489178287370732,17.578125,35.958
A*,0.006537,9.828427076339722,0.0,0.0,9.219544,0.31415927220468765,2.082842712474619,13.671875,28.089
A*,0.013361,13.485281229019165,0.0,0.0,12.206555,0.2617993877991494,1.89344577931153,25.78125,44.326
A*,0.004216,5.2426406145095825,0.0,0.0,5.0,0.31415927220468765,3.0,10.15625,23.038
A*,0.003879,7.071067690849304,0.0,0.0,7.071068,0.0,6.546465554663977,11.328125,24.392
A*,0.001984,2.414213538169861,0.0,0.0,2.236068,0.26179938209439246,4.2235160309735145,4.6875,14.502
A*,0.00796,10.899494767189026,0.0,0.0,10.630146,0.08726646450130213,5.350331382786994,21.09375,37.454
A*,0.030385,16.656854152679443,0.0,0.0,12.206555,0.2945243155526108,1.4415309438903738,45.703125,69.615
A*,0.012588,10.242640614509583,0.0,0.0,9.486833,0.4712388877699064,3.8,22.265625,39.574
A*,0.008296,9.828427076339722,0.0,0.0,9.219544,0.2356194438849532,2.0478708664619076,16.015625,30.169
Dijkstra,0.039376,8.656854152679443,0.0,0.0,8.062258,0.0981747725639649,2.5080618877807472,56.640625,68.482
Dijkstra,0.009601,3.414213538169861,0.0,0.0,3.1622777,0.1963495451279298,7.5,19.921875,31.369
Dijkstra,0.064386,18.313708305358887,0.0,0.0,16.40122,0.14726215670666348,3.263099468383074,87.109375,100.986
Dijkstra,0.00625,2.8284270763397217,0.0,0.0,2.828427,0.0,6.0,12.890625,21.982
Dijkstra,0.008549,3.8284270763397217,0.0,0.0,3.6055512,0.19634953657079435,2.368033988749895,14.0625,23.969
Dijkstra,0.053322,10.485281229019165,0.0,0.0,10.0,0.17453292139626164,1.4904681735970107,78.515625,93.321
Dijkstra,0.049033,12.828427076339722,0.0,0.0,11.045361,0.18124572869831337,1.2807908876825296,67.96875,87.442
Dijkstra,0.026229,6.2426406145095825,0.0,0.0,5.8309517,0.2617993935039064,2.0,42.1875,57.954
Dijkstra,0.043066,7.828427076339722,0.0,0.0,7.28011,0.09817476828539717,2.720978616954046,67.96875,86.458
Dijkstra,0.061084,12.242640614509583,0.0,0.0,10.0,0.19634954227555132,1.8255095296008133,85.15625,98.53
